term,date_added,rationale
war,2026-09-21,initial term list per task spec Section 5
wartime,2026-09-21,initial term list per task spec Section 5
war responsibility,2026-09-21,initial term list per task spec Section 5
aggression,2026-09-21,initial term list per task spec Section 5
aggressor,2026-09-21,initial term list per task spec Section 5
colonial rule,2026-09-21,initial term list per task spec Section 5
colonialism,2026-09-21,initial term list per task spec Section 5
colonial occupation,2026-09-21,initial term list per task spec Section 5
history,2026-09-21,initial term list per task spec Section 5
historical issue,2026-09-21,initial term list per task spec Section 5
historical recognition,2026-09-21,initial term list per task spec Section 5
historical perception,2026-09-21,initial term list per task spec Section 5
comfort women,2026-09-21,initial term list per task spec Section 5
military comfort women,2026-09-21,initial term list per task spec Section 5
sexual slavery,2026-09-21,initial term list per task spec Section 5
sex slavery,2026-09-21,initial term list per task spec Section 5
Nanjing,2026-09-21,initial term list per task spec Section 5
Nanking,2026-09-21,initial term list per task spec Section 5
Nanjing Massacre,2026-09-21,initial term list per task spec Section 5
Yasukuni,2026-09-21,initial term list per task spec Section 5
Yasukuni Shrine,2026-09-21,initial term list per task spec Section 5
textbook,2026-09-21,initial term list per task spec Section 5
history textbook,2026-09-21,initial term list per task spec Section 5
forced labor,2026-09-21,initial term list per task spec Section 5
forced workers,2026-09-21,initial term list per task spec Section 5
wartime labor,2026-09-21,initial term list per task spec Section 5
forced mobilization,2026-09-21,initial term list per task spec Section 5
conscription,2026-09-21,initial term list per task spec Section 5
apology,2026-09-21,initial term list per task spec Section 5
apologize,2026-09-21,initial term list per task spec Section 5
apologise,2026-09-21,initial term list per task spec Section 5
remorse,2026-09-21,initial term list per task spec Section 5
regret,2026-09-21,initial term list per task spec Section 5
reflection,2026-09-21,initial term list per task spec Section 5
responsibility,2026-09-21,initial term list per task spec Section 5
victim,2026-09-21,initial term list per task spec Section 5
victims,2026-09-21,initial term list per task spec Section 5
suffering,2026-09-21,initial term list per task spec Section 5
compensation,2026-09-21,initial term list per task spec Section 5
reparation,2026-09-21,initial term list per task spec Section 5
fund,2026-09-21,initial term list per task spec Section 5
1965 agreement,2026-09-21,initial term list per task spec Section 5
2015 agreement,2026-09-21,initial term list per task spec Section 5
Treaty on Basic Relations,2026-09-21,initial term list per task spec Section 5
Japan-Korea agreement,2026-09-21,initial term list per task spec Section 5
historical responsibility,2026-09-21,initial term list per task spec Section 5
