raw_file,cleaned_file,url,country,institution,document_title,document_type_guess,date_guess,source_language_guess
data/raw/japan/100_kishida_statement_202110_00002_html_47cc3f7221.html,data/cleaned/japan/100_kishida_statement_202110_00002_html_47cc3f7221.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00002.html,japan,Prime Minister's Office of Japan (Kantei),Statement by Prime Minister KISHIDA Fumio (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan,SPEECH,"October 4, 2021",en
data/raw/japan/100_kishida_statement_202110_00003_html_cba048509d.html,data/cleaned/japan/100_kishida_statement_202110_00003_html_cba048509d.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00003.html,japan,Prime Minister's Office of Japan (Kantei),Press Conference by the Prime Minister on the Winning of the Nobel Prize in Physics by Dr. MANABE Syukuro (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan,PRESS_CONFERENCE,"October 6, 2021",en
data/raw/japan/100_kishida_statement_202110_00004_html_902f1e16f2.html,data/cleaned/japan/100_kishida_statement_202110_00004_html_902f1e16f2.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00004.html,japan,Prime Minister's Office of Japan (Kantei),Press Conference by the Prime Minister on His State of Mind the Day after the Inauguration of His Cabinet and Other Matters (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan,PRESS_CONFERENCE,"October 5, 2021",en
data/raw/japan/100_kishida_statement_202110_00005_html_271c69eafd.html,data/cleaned/japan/100_kishida_statement_202110_00005_html_271c69eafd.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00005.html,japan,Prime Minister's Office of Japan (Kantei),Policy Speech by Prime Minister KISHIDA Fumio to the 205th Session of the Diet (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan,SPEECH,"October 8, 2021",en
data/raw/japan/100_kishida_statement_202110_00006_html_13e3100d18.html,data/cleaned/japan/100_kishida_statement_202110_00006_html_13e3100d18.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00006.html,japan,Prime Minister's Office of Japan (Kantei),Press Conference by the Prime Minister regarding a Telephone Talk with Russian President Vladimir Putin (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan,PRESS_CONFERENCE,"October 7, 2021",en
data/raw/japan/100_kishida_statement_202110_00007_html_7b3227b48a.html,data/cleaned/japan/100_kishida_statement_202110_00007_html_7b3227b48a.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00007.html,japan,Prime Minister's Office of Japan (Kantei),Press Conference by the Prime Minister regarding the Earthquake centered in Northwestern Chiba Prefecture (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan,PRESS_CONFERENCE,"October 8, 2021",en
data/raw/japan/100_kishida_statement_202110_00008_html_6c391fdf08.html,data/cleaned/japan/100_kishida_statement_202110_00008_html_6c391fdf08.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00008.html,japan,Prime Minister's Office of Japan (Kantei),"Press Conference by the Prime Minister regarding Telephone Talks with President Xi Jinping of China, and Prime Minister Narendra Modi of India (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan",PRESS_CONFERENCE,"October 8, 2021",en
data/raw/japan/100_kishida_statement_202110_00009_html_6c7fab1464.html,data/cleaned/japan/100_kishida_statement_202110_00009_html_6c7fab1464.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00009.html,japan,Prime Minister's Office of Japan (Kantei),Press Conference by the Prime Minister regarding His Visit to Tokyo Metropolitan Bokutoh Hospital  (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan,PRESS_CONFERENCE,"October 9, 2021",en
data/raw/japan/100_kishida_statement_202110_00010_html_a77439c972.html,data/cleaned/japan/100_kishida_statement_202110_00010_html_a77439c972.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00010.html,japan,Prime Minister's Office of Japan (Kantei),Press Conference by the Prime Minister regarding His Visit to a Temporary Accommodation Facility for Recuperation in Kanagawa Prefecture (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan,PRESS_CONFERENCE,"October 10, 2021",en
data/raw/japan/100_kishida_statement_202110_00011_html_06090be86e.html,data/cleaned/japan/100_kishida_statement_202110_00011_html_06090be86e.txt,https://japan.kantei.go.jp/100_kishida/statement/202110/_00011.html,japan,Prime Minister's Office of Japan (Kantei),Press Conference by the Prime Minister regarding the Dissolution of the House of Representatives (Speeches and Statements <br>by the Prime Minister) | Prime Minister's Office of Japan,PRESS_CONFERENCE,"October 14, 2021",en
