url,domain,date,state,title,direct_status,wayback_available,wayback_url,verdict
http://www.mofa.go.jp/policy/postwar/state8208.html,www.mofa.go.jp,1982/8/26,Japan,Statement by Chief Cabinet Secretary Kiichi Miyazawa on History Textbooks,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20200808234541/https://www.mofa.go.jp/policy/postwar/state8208.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/policy/postwar/state8608.html,www.mofa.go.jp,1986/8/14,Japan,Statement by Chief Cabinet Secretary Masaharu Gotoda on Official Visits to Yasukuni Shrine by the Prime Minister and Oth,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20210109203246/https://www.mofa.go.jp/policy/postwar/state8608.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/policy/postwar/state9207.html,www.mofa.go.jp,1992/7/6,Japan,"Statement by Chief Cabinet Secretary Koichi Kato on the Issue of the so-called ""Wartime Comfort Women"" from the Korean P",SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20201112001717/https://www.mofa.go.jp/policy/postwar/state9207.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/policy/women/fund/state9308.html,www.mofa.go.jp,1993/8/4,Japan,"Statement by the Chief Cabinet Secretary Yohei Kono on the result of the study on the issue of ""comfort women""",SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20210113003408/https://www.mofa.go.jp/policy/women/fund/state9308.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/127.html,japan.kantei.go.jp,1993/8/23,Japan,Policy Speech by Prime Minister Hosokawa Morihiro to the 127th Session of the National Diet,HTTP_404,True,http://web.archive.org/web/20220401165203/https://japan.kantei.go.jp/127.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/press/pm/murayama/state9408.html,www.mofa.go.jp,1994/8/31,Japan,"Statement by Prime Minister Tomiichi Murayama on the ""Peace, Friendship, and Exchange Initiative""",SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20260720190843/https://www.mofa.go.jp/announce/press/pm/murayama/state9408.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/press/1995/1/113.html,www.mofa.go.jp,1995/1/13,Japan,Press Conference by Press Sec. 13 January 1995,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20251207020233/https://www.mofa.go.jp/announce/press/1995/1/113.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/press/pm/murayama/china.html,www.mofa.go.jp,1995/5/4,Japan,Remarks by Prime Minister Tomiichi Murayama During His May 1995 Visit to China,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20240603082917/https://www.mofa.go.jp/announce/press/pm/murayama/china.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/press/pm/murayama/address9506.html,www.mofa.go.jp,1995/6/9,Japan,Prime Minister's Address to the Diet,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20250407154821/https://www.mofa.go.jp/announce/press/pm/murayama/address9506.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/policy/women/fund/state9506.html,www.mofa.go.jp,1995/6/14,Japan,Statement by the Chief Cabinet Secretary,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20200918085214/https://www.mofa.go.jp/policy/women/fund/state9506.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/policy/women/fund/state9507.html,www.mofa.go.jp,1995/7,Japan,"Statement by Prime Minister Tomiichi Murayama on the occasion of the establishment of the ""Asian Women's Fund""",SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20201111212141/https://www.mofa.go.jp/policy/women/fund/state9507.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/press/pm/murayama/9508.html,www.mofa.go.jp,1995/8/15,Japan,Statement by Prime Minister Tomiichi Murayama,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20260905165251/https://www.mofa.go.jp/announce/press/pm/murayama/9508.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/announce/archive_3/sp.html,www.mofa.go.jp,1995/10/22,Japan,Statement by Prime Minister Tomiichi Murayama at the Special Commemorative Meeting of the General Assembly on the Occasi,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20170405192514/http://www.mofa.go.jp:80/announce/announce/archive_3/sp.html,RECOVERABLE_WAYBACK
http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/yzs_663350/gjlb_663354/2721_663446/2725_663454/t16017.shtml,www.fmprc.gov.cn,2000/11/15,China,Spokesman Zhu Bangzao's Remarks on the Denial of War-time Atrocities inside Japan,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20160227084018/http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/yzs_663350/gjlb_663354/2721_663446/2725_663454/t16017.shtml,RECOVERABLE_WAYBACK
http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/yzs_663350/gjlb_663354/2721_663446/2725_663454/t16016.shtml,www.fmprc.gov.cn,2000/11/15,China,Spokesperson's comment on the report of anti-China rally planned by right-wing groups of Japan,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20160227084042/http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/yzs_663350/gjlb_663354/2721_663446/2725_663454/t16016.shtml,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/press/1996/9/930.html,www.mofa.go.jp,1996/9/27,Japan,Press Conference by the Press Secretary 27 September 1996,SKIPPED_KNOWN_BLOCKED,False,,NOT_RECOVERABLE_YET
http://www.mofa.go.jp/announce/press/1996/12/1203.html,www.mofa.go.jp,1996/12/3,Japan,Press Conference by the Press Secretary 3 December 1996,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20150910190833/http://www.mofa.go.jp/announce/press/1996/12/1203.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/press/1997/1/128.html,www.mofa.go.jp,1997/1/28,Japan,Press Conference by the Press Secretary 28 January 1997,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20251206161320/https://www.mofa.go.jp/announce/press/1997/1/128.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/policy/women/fund/project0107-3.html,www.mofa.go.jp,1998/7/15,Japan,"Japanese Prime Minister Ryutaro Hashimoto sent a letter, to the Dutch Prime Minister Willem Kok expressing apologies and",SKIPPED_KNOWN_BLOCKED,False,,NOT_RECOVERABLE_YET
http://www.mofa.go.jp/announce/press/1998/11/1126.html,www.mofa.go.jp,1998/11/26,Japan,"Press Conference by the Press Secretary 26 November, 1998",SKIPPED_KNOWN_BLOCKED,False,,NOT_RECOVERABLE_YET
http://japan.kantei.go.jp/souri/mori/2000/0526press.html,japan.kantei.go.jp,2000/5/26,Japan,Statement By Prime Minister Yoshiro Mori at the Press Conference,HTTP_404,True,http://web.archive.org/web/20251114030019/https://japan.kantei.go.jp/souri/mori/2000/0526press.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/j_info/japan/opinion/watanabe.html,www.mofa.go.jp,2000/7/3,Japan,"Letter written in response to the article ""Why the Austrians are the Japanese of Europe"" in the Financial Times on 3 Jul",SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20150907184025/http://www.mofa.go.jp/j_info/japan/opinion/watanabe.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/j_info/japan/opinion/yamazaki4.html,www.mofa.go.jp,2000/8/7,Japan,"Letter written in response to the article ""Miffed Chinese Sue Japan Companies"" in New York Times on 7 August 2000",SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20260131172019/https://www.mofa.go.jp/j_info/japan/opinion/yamazaki4.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/j_info/japan/opinion/yamazaki3.html,www.mofa.go.jp,2000/8/12,Japan,"Letter written in response to the article ""Remember why Hiroshima happened"" in The Edmonton Sun on 12 August 2000",SKIPPED_KNOWN_BLOCKED,False,,NOT_RECOVERABLE_YET
http://www.mofa.go.jp/policy/postwar/state0009.html,www.mofa.go.jp,2000/9/1,Japan,Press Statement by Chief Cabinet Secretary Hidenao Nakagawa on the Asian Women's Fund,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20200918080706/https://www.mofa.go.jp/policy/postwar/state0009.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/region/asia-paci/china/visit98/joint.html,www.mofa.go.jp,1998/11/26,Japan/China,Japan-China Joint Declaration on Building a Partnership of Friendship and Cooperation for Peace and Development,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20260827230226/https://www.mofa.go.jp/region/asia-paci/china/visit98/joint.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/region/asia-paci/korea/joint9810.html,www.mofa.go.jp,1998/10/8,Japan/Korea,Japan-Republic of Korea Joint Declaration--A New Japan-Republic of Korea Partnership towards the Twenty-first Century,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20260901222244/https://www.mofa.go.jp/region/asia-paci/korea/joint9810.html,RECOVERABLE_WAYBACK
http://www.fmprc.gov.cn/ce/cein/eng/zyjh/SPEECHES/t61435.htm,www.fmprc.gov.cn,2001/3/6,China,Foreign Minister Tang Jiaxuan Gives a Press Conference,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/ce/cegv/eng/ljzg/zgwjzc/t85884.htm,www.fmprc.gov.cn,2004/4/19,China,Chinese Foreign Minister Tang Jiaxuan Gives a Press Conference During the 1st Session of the 10th NPC (06/03/2003),HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/ce/cegv/eng/ljzg/zgwjzc/t85900.htm,www.fmprc.gov.cn,2004/4/19,China,Press Conference by Minister of Foreign Affairs Li Zhaoxing during the Second Session of the 10th NPC(06/03/2004),HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/ce/cegv/eng/zt/zgfk/t89041.htm,www.fmprc.gov.cn,2004/4/22,China,Foreign Ministry Spokesman Sun Yuxi Gives a Press Conference（09/10/2001）,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/ce/cedk/eng/xnyfgk/t105631.htm,www.fmprc.gov.cn,2004/5/14,China,Foreign Ministry Spokesperson Kong Quan's Remarks on Several Japanese Cabinet Members Having Paid Homage to the Yasukuni,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2535_665405/t142169.shtml,www.fmprc.gov.cn,2004/7/6,China,Foreign Ministry Spokesperson Zhang Qiyue's Remarks on Koizumi's Vow for Annual Homage to the Yasukuni Shrine,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/ce/ceun/eng/xw/t181241.htm,www.fmprc.gov.cn,2005/1/24,China,Statement by Permanent Representative of China WANG Guangya at the Special Session of the GA in Commemoration of the Six,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20190818122607/https://www.fmprc.gov.cn/ce/ceun/eng/xw/t181241.htm,RECOVERABLE_WAYBACK
